       	gene_id 	go_terms
 54116 	g25125  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54121 	g25217  	GO:0003918(InterPro)|GO:0005524(InterPro)
 54138 	g1880   	GO:0005484(InterPro)|GO:0005783(PANTHER)|GO:0006890(InterPro)|GO:0006890(PANTHER)|GO:0031201(PANTHER)
 54139 	g31082  	GO:0003676(InterPro)
 54140 	g31531  	GO:0004143(InterPro)|GO:0007200(InterPro)
 54143 	g29884  	GO:0004364(InterPro)
 54145 	g12636  	GO:0003676(InterPro)
 54148 	g2726   	GO:0005515(InterPro)
 54165 	g16201  	GO:0003713(InterPro)|GO:0031490(InterPro)|GO:0031490(PANTHER)
 54168 	g21173  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54182 	g32317  	GO:0016020(InterPro)
 54185 	g12403  	GO:0016740(InterPro)
 54187 	g34943  	GO:0005515(InterPro)
 54191 	g8933   	GO:0004672(InterPro)|GO:0006468(InterPro)
 54201 	g35315  	GO:0016616(InterPro)|GO:0051287(InterPro)
 54205 	g13850  	GO:0016310(InterPro)|GO:0016772(InterPro)
 54209 	g24288  	GO:0007165(InterPro)
 54213 	g14222  	GO:0004553(InterPro)|GO:0005975(InterPro)
 54216 	g14485  	GO:0003824(InterPro)|GO:0009116(InterPro)
 54219 	g35871  	GO:0005515(InterPro)
 54231 	g23830  	GO:0043531(InterPro)
 54232 	g29552  	GO:0006952(InterPro)
 54233 	g8548   	GO:0009044(PANTHER)|GO:0009044(InterPro)|GO:0031222(PANTHER)|GO:0045493(PANTHER)|GO:0045493(InterPro)|GO:0046556(PANTHER)
 54239 	g33614  	GO:0042054(InterPro)
 54247 	g34334  	GO:0004842(InterPro)|GO:0016567(InterPro)
 54254 	g5050   	GO:0030247(InterPro)
 54255 	g7169   	GO:0003676(InterPro)
 54256 	g28547  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54269 	g30088  	GO:0016765(InterPro)
 54275 	g30783  	GO:0005975(InterPro)|GO:0016868(InterPro)
 54287 	g23710  	GO:0004672(InterPro)|GO:0006468(InterPro)
 54293 	g29832  	GO:0005829(PANTHER)|GO:0009903(PANTHER)|GO:0009904(PANTHER)
 54294 	g12933  	GO:0003729(InterPro)|GO:0006402(InterPro)|GO:0032451(InterPro)
 54295 	g8701   	GO:0010112(InterPro)
 54297 	g31759  	GO:0005515(InterPro)
 54317 	g5525   	GO:0004843(InterPro)|GO:0004843(PANTHER)|GO:0005634(PANTHER)|GO:0016579(PANTHER)|GO:0016579(InterPro)
 54321 	g11007  	GO:0005515(InterPro)
 54342 	g30754  	GO:0005515(InterPro)
 54358 	g24801  	GO:0016788(InterPro)
 54359 	g1129   	GO:0006621(InterPro)|GO:0016020(InterPro)|GO:0046923(InterPro)
 54369 	g30451  	GO:0008270(InterPro)|GO:0016491(InterPro)
 54372 	g13299  	GO:0004857(InterPro)
 54376 	g31407  	GO:0009055(InterPro)
 54379 	g14096  	GO:0003824(InterPro)
 54381 	g3468   	GO:0030247(InterPro)
 54382 	g12122  	GO:0005975(InterPro)
 54386 	g6136   	GO:0006412(PANTHER)|GO:0008097(PANTHER)|GO:0022625(PANTHER)
 54390 	g5585   	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54397 	g22411  	GO:0006629(InterPro)|GO:0008081(InterPro)
 54403 	g4606   	GO:0003676(InterPro)|GO:0008270(InterPro)
 54406 	g35919  	GO:0016567(InterPro)|GO:0016740(InterPro)
 54407 	g4905   	GO:0004659(PANTHER)
 54410 	g5      	GO:0005515(InterPro)
 54417 	g6364   	GO:0032266(InterPro)|GO:0043130(InterPro)
 54420 	g15125  	GO:0016616(InterPro)
 54428 	g26498  	GO:0005515(InterPro)
 54437 	g33833  	GO:0003777(InterPro)|GO:0005524(InterPro)|GO:0007018(InterPro)|GO:0008017(InterPro)
 54445 	g29124  	GO:0003747(InterPro)|GO:0006415(InterPro)
 54446 	g12701  	GO:0022857(InterPro)|GO:0055085(InterPro)
 54448 	g19335  	GO:0005886(PANTHER)
 54462 	g26317  	GO:0009507(PANTHER)|GO:0009767(PANTHER)|GO:0045156(PANTHER)
 54464 	g5090   	GO:0009695(InterPro)|GO:0046423(InterPro)
 54467 	g5557   	GO:0008194(InterPro)
 54470 	g12822  	GO:0003700(PANTHER)|GO:0005634(PANTHER)
 54471 	g34897  	GO:0005515(InterPro)
 54476 	g34627  	GO:0005783(PANTHER)|GO:0030134(PANTHER)
 54477 	g18289  	GO:0004601(InterPro)
 54497 	g15850  	GO:0004672(InterPro)|GO:0006468(InterPro)
 54502 	g15615  	GO:0003964(InterPro)
 54506 	g35592  	GO:0005975(InterPro)|GO:0016758(InterPro)|GO:0030259(InterPro)
 54508 	g5269   	GO:0003746(InterPro)|GO:0005737(InterPro)|GO:0006414(InterPro)
 54517 	g24615  	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
 54524 	g1018   	GO:0042138(InterPro)|GO:0042138(PANTHER)
 54525 	g29099  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54535 	g26184  	GO:0003677(InterPro)
 54541 	g27507  	GO:0005515(InterPro)
 54551 	g29092  	GO:0005515(InterPro)
 54566 	g26177  	GO:0005096(InterPro)
 54573 	g16334  	GO:0004197(PANTHER)|GO:0005737(PANTHER)|GO:0006508(PANTHER)
 54575 	g26373  	GO:0008017(PANTHER)|GO:0031122(PANTHER)
 54576 	g24983  	GO:0009691(InterPro)|GO:0016787(InterPro)
 54578 	g28888  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54583 	g29681  	GO:0006508(InterPro)|GO:0008234(InterPro)
 54589 	g29317  	GO:0004672(InterPro)|GO:0006468(InterPro)
 54593 	g14084  	GO:0005216(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
 54594 	g36811  	GO:0016853(InterPro)
 54600 	g1616   	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
 54602 	g36772  	GO:0003677(InterPro)
 54604 	g28381  	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
 54607 	g24139  	GO:0007165(InterPro)
 54614 	g5100   	GO:0003723(InterPro)
 54616 	g24001  	GO:0005737(PANTHER)|GO:0016831(PANTHER)
 54625 	g25611  	GO:0046983(InterPro)
 54631 	g28247  	GO:0006520(InterPro)|GO:0008483(InterPro)
 54634 	g5561   	GO:0005515(InterPro)
 54650 	g35867  	GO:0003676(InterPro)
 54653 	g36220  	GO:0003677(InterPro)
 54654 	g18209  	GO:0007165(InterPro)
 54657 	g10023  	GO:0004665(InterPro)|GO:0006571(InterPro)|GO:0008977(InterPro)
 54663 	g15876  	GO:0004462(InterPro)|GO:0046872(InterPro)
 54666 	g20825  	GO:0004672(InterPro)|GO:0006468(InterPro)
 54675 	g27649  	GO:0000160(InterPro)
 54681 	g33974  	GO:0003677(InterPro)
 54685 	g24706  	GO:0005525(InterPro)
 54711 	g11891  	GO:0043531(InterPro)
 54719 	g26785  	GO:0046983(InterPro)
 54725 	g6769   	GO:0005092(InterPro)|GO:0005093(PANTHER)|GO:0005737(PANTHER)|GO:0007264(InterPro)|GO:0016192(PANTHER)
 54733 	g26500  	GO:0016757(InterPro)
 54735 	g27759  	GO:0061630(InterPro)
 54736 	g25391  	GO:0004553(InterPro)|GO:0005975(InterPro)
 54738 	g16932  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54748 	g15101  	GO:0004521(PANTHER)|GO:0005634(PANTHER)|GO:0016180(PANTHER)
 54749 	g16417  	GO:0008180(PANTHER)
 54750 	g1186   	GO:0016020(InterPro)|GO:0016192(InterPro)
 54753 	g27001  	GO:0005515(InterPro)
 54759 	g21882  	GO:0005524(InterPro)|GO:0016020(InterPro)
 54772 	g30017  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54803 	g19337  	GO:0005515(InterPro)
 54811 	g30557  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54819 	g4989   	GO:0006644(PANTHER)|GO:0006644(InterPro)|GO:0008195(PANTHER)|GO:0016020(PANTHER)|GO:0046839(PANTHER)
 54820 	g19235  	GO:0005737(PANTHER)
 54821 	g11381  	GO:0005515(InterPro)
 54825 	g1041   	GO:0080043(PANTHER)|GO:0080044(PANTHER)
 54828 	g11773  	GO:0016491(InterPro)
 54830 	g21565  	GO:0005515(InterPro)
 54836 	g28834  	GO:0004722(InterPro)|GO:0006470(InterPro)
 54838 	g1924   	GO:0005515(InterPro)
 54844 	g20746  	GO:0015031(InterPro)
 54846 	g24     	GO:0046983(InterPro)
 54852 	g29270  	GO:0006355(InterPro)|GO:0043565(InterPro)
 54861 	g30564  	GO:0000976(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006355(PANTHER)
 54866 	g18411  	GO:0030247(InterPro)
 54867 	g34375  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54872 	g13520  	GO:0004364(PANTHER)|GO:0005737(PANTHER)|GO:0006749(PANTHER)|GO:0043295(PANTHER)
 54873 	g30581  	GO:0000447(PANTHER)|GO:0000472(PANTHER)|GO:0000480(PANTHER)|GO:0003723(PANTHER)|GO:0005730(PANTHER)|GO:0034462(PANTHER)
 54875 	g4814   	GO:0016491(InterPro)
 54882 	g9638   	GO:0046872(InterPro)
 54886 	g30253  	GO:0016491(InterPro)
 54888 	g3474   	GO:0003723(InterPro)
 54892 	g14573  	GO:0007165(InterPro)
 54895 	g35384  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54912 	g17821  	GO:0004185(InterPro)|GO:0006508(InterPro)
 54918 	g1734   	GO:0016567(InterPro)|GO:0016740(InterPro)
 54919 	g2554   	GO:0012511(InterPro)|GO:0016020(InterPro)|GO:0019915(PANTHER)
 54921 	g14428  	GO:0005524(InterPro)|GO:0005634(InterPro)|GO:0006355(InterPro)
 54925 	g35905  	GO:0000166(InterPro)|GO:0004828(InterPro)|GO:0005524(InterPro)|GO:0006434(InterPro)
 54935 	g21830  	GO:0006629(InterPro)|GO:0008081(InterPro)
 54946 	g25059  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54955 	g21948  	GO:0003676(InterPro)
 54958 	g3848   	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 54964 	g6351   	GO:0008270(InterPro)
 54968 	g17639  	GO:0016616(InterPro)
 54969 	g13956  	GO:0005515(InterPro)
 54977 	g3760   	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 54989 	g30388  	GO:0005515(InterPro)
 55000 	g11245  	GO:0005515(InterPro)
 55008 	g16130  	GO:0003677(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0045893(PANTHER)
 55009 	g13190  	GO:0005515(InterPro)
 55021 	g4796   	GO:0004386(InterPro)
 55023 	g19152  	GO:0005524(InterPro)
 55028 	g24601  	GO:0004674(PANTHER)
 55030 	g24450  	GO:0003924(InterPro)|GO:0005525(InterPro)
 55031 	g33069  	GO:0003824(InterPro)
 55032 	g17769  	GO:0005515(InterPro)
 55034 	g17918  	GO:0007165(InterPro)
 55039 	g2096   	GO:0016757(InterPro)
 55040 	g22317  	GO:0016020(InterPro)
 55043 	g25033  	GO:0015979(InterPro)|GO:0015995(InterPro)|GO:0046872(InterPro)|GO:0048529(InterPro)
 55048 	g2402   	GO:0003993(InterPro)|GO:0046872(InterPro)
 55050 	g21912  	GO:0005267(InterPro)|GO:0016020(InterPro)|GO:0071805(InterPro)
 55053 	g1483   	GO:0004345(PANTHER)|GO:0006006(PANTHER)|GO:0006006(InterPro)|GO:0009051(PANTHER)|GO:0009570(PANTHER)|GO:0016614(InterPro)|GO:0050661(InterPro)
 55054 	g1954   	GO:0017148(PANTHER)|GO:0043023(PANTHER)|GO:0090071(PANTHER)
 55055 	g24380  	GO:0003676(InterPro)
 55056 	g4088   	GO:0005515(InterPro)
 55059 	g26676  	GO:0009733(PANTHER)
 55060 	g23360  	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0003700(InterPro)|GO:0006357(PANTHER)|GO:0006357(InterPro)|GO:0090575(PANTHER)
 55065 	g29991  	GO:0003676(InterPro)|GO:0008270(InterPro)
 55069 	g33103  	GO:0005874(InterPro)|GO:0007017(InterPro)
 55095 	g26002  	GO:0004252(InterPro)|GO:0006508(InterPro)
 55099 	g9004   	GO:0003860(PANTHER)|GO:0003860(InterPro)|GO:0005829(PANTHER)|GO:0006574(PANTHER)
 55100 	g33740  	GO:0005829(PANTHER)|GO:0009414(PANTHER)|GO:0009415(InterPro)|GO:0009631(PANTHER)|GO:0009737(PANTHER)|GO:0016020(PANTHER)
 55102 	g19896  	GO:0003677(InterPro)|GO:0033644(InterPro)|GO:0046740(InterPro)
 55103 	g20788  	GO:0009664(InterPro)
 55121 	g2328   	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55127 	g27465  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55129 	g19531  	GO:0007165(InterPro)
 55130 	g11905  	GO:0004185(InterPro)|GO:0006508(InterPro)|GO:0016747(PANTHER)|GO:0019748(PANTHER)
 55136 	g16429  	GO:0005515(InterPro)
 55144 	g5007   	GO:0005515(InterPro)
 55149 	g27082  	GO:0009507(PANTHER)|GO:0010436(PANTHER)|GO:0016121(PANTHER)|GO:0016702(InterPro)
 55151 	g10048  	GO:0005525(InterPro)
 55163 	g27730  	GO:0005515(InterPro)
 55171 	g32092  	GO:0006508(InterPro)|GO:0008234(InterPro)
 55177 	g9554   	GO:0004176(InterPro)|GO:0005524(InterPro)|GO:0006508(InterPro)
 55185 	g36651  	GO:0003950(InterPro)
 55187 	g11074  	GO:0006952(InterPro)|GO:0009507(PANTHER)
 55188 	g10753  	GO:0006974(PANTHER)|GO:0036297(InterPro)|GO:0043240(InterPro)|GO:0043240(PANTHER)
 55189 	g26799  	GO:0003779(InterPro)|GO:0030036(InterPro)|GO:0045010(InterPro)|GO:0051015(InterPro)
 55190 	g14621  	GO:0004402(InterPro)|GO:0006355(InterPro)
 55197 	g6286   	GO:0003723(InterPro)|GO:0003723(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)
 55198 	g22271  	GO:0005085(InterPro)|GO:0005085(PANTHER)|GO:0007264(InterPro)|GO:0043547(PANTHER)
 55199 	g18391  	GO:0007165(InterPro)
 55200 	g22067  	GO:0005515(InterPro)
 55221 	g12460  	GO:0003677(InterPro)
 55226 	g18368  	GO:0043531(InterPro)
 55228 	g25473  	GO:0016491(InterPro)
 55231 	g26732  	GO:0016491(InterPro)
 55237 	g21606  	GO:0030170(InterPro)
 55241 	g30767  	GO:0005515(InterPro)
 55247 	g6694   	GO:0005783(PANTHER)|GO:0005794(PANTHER)|GO:0016192(PANTHER)
 55248 	g33965  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55263 	g25690  	GO:0003723(InterPro)|GO:0003743(InterPro)|GO:0006413(InterPro)
 55267 	g1423   	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 55282 	g28788  	GO:0005525(InterPro)
 55290 	g1864   	GO:0009507(PANTHER)
 55291 	g31234  	GO:0003700(InterPro)|GO:0006355(InterPro)
 55299 	g10790  	GO:0008143(PANTHER)
 55304 	g36002  	GO:0005886(PANTHER)|GO:0098542(InterPro)
 55305 	g31153  	GO:0005388(PANTHER)|GO:0005886(PANTHER)|GO:0019829(PANTHER)|GO:0043231(PANTHER)
 55308 	g8539   	GO:0007015(InterPro)|GO:0008064(PANTHER)|GO:0031209(PANTHER)|GO:0031209(InterPro)|GO:0044877(InterPro)|GO:0048870(PANTHER)
 55309 	g19823  	GO:0005515(InterPro)
 55313 	g21554  	GO:0009507(PANTHER)
 55314 	g28338  	GO:0009408(InterPro)
 55315 	g3721   	GO:0000976(PANTHER)|GO:0003712(PANTHER)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0042393(InterPro)
 55323 	g17411  	GO:0005743(PANTHER)|GO:0033615(PANTHER)
 55326 	g2203   	GO:0005199(InterPro)|GO:0009664(InterPro)
 55347 	g9629   	GO:0005524(InterPro)|GO:0016887(InterPro)
 55350 	g11801  	GO:0005978(InterPro)|GO:0008878(InterPro)
 55356 	g25915  	GO:0003723(InterPro)
 55364 	g34984  	GO:0009058(InterPro)|GO:0030170(InterPro)
 55370 	g1512   	GO:0003677(InterPro)|GO:0046983(InterPro)
 55392 	g7095   	GO:0030246(InterPro)
 55398 	g33263  	GO:0005515(InterPro)
 55403 	g10007  	GO:0016020(PANTHER)
 55404 	g19700  	GO:0004553(InterPro)|GO:0005975(InterPro)
 55406 	g117    	GO:0005524(InterPro)|GO:0140662(InterPro)
 55408 	g23473  	GO:0003723(InterPro)
 55417 	g26305  	GO:0000287(InterPro)|GO:0010333(InterPro)|GO:0016829(InterPro)
 55420 	g22894  	GO:0016491(InterPro)
 55421 	g32178  	GO:0004069(PANTHER)|GO:0005739(PANTHER)|GO:0006520(InterPro)|GO:0008483(InterPro)
 55424 	g36813  	GO:0036503(InterPro)
 55425 	g17412  	GO:0003676(InterPro)
 55433 	g213    	GO:0043531(InterPro)
 55434 	g22934  	GO:0005515(InterPro)
 55438 	g32826  	GO:0005525(InterPro)
 55442 	g27650  	GO:0005975(InterPro)
 55447 	g379    	GO:0016020(InterPro)|GO:0055085(InterPro)
 55449 	g34406  	GO:0004843(InterPro)|GO:0016579(InterPro)
 55452 	g10271  	GO:0003723(InterPro)
 55467 	g12690  	GO:0016020(InterPro)
 55471 	g11405  	GO:0016020(PANTHER)
 55478 	g4966   	GO:0004864(PANTHER)|GO:0005737(PANTHER)|GO:0035308(PANTHER)
 55479 	g18378  	GO:0006869(InterPro)|GO:0008289(InterPro)
 55482 	g13804  	GO:0004185(InterPro)|GO:0006508(InterPro)
 55494 	g8314   	GO:0004029(PANTHER)|GO:0005737(PANTHER)|GO:0006081(InterPro)|GO:0006081(PANTHER)
 55499 	g17302  	GO:0003680(PANTHER)|GO:0003680(InterPro)|GO:0003700(PANTHER)|GO:0005634(PANTHER)
 55500 	g28142  	GO:0009536(PANTHER)|GO:0032544(PANTHER)
 55503 	g18367  	GO:0007165(InterPro)
 55508 	g11651  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55511 	g33306  	GO:0004630(PANTHER)|GO:0005886(PANTHER)|GO:0009395(PANTHER)
 55518 	g12956  	GO:0009507(PANTHER)
 55519 	g3636   	GO:0001522(InterPro)|GO:0003723(InterPro)|GO:0009451(InterPro)|GO:0009982(InterPro)
 55527 	g5541   	GO:0005975(InterPro)|GO:0016791(InterPro)
 55543 	g8994   	GO:0006898(PANTHER)|GO:0007032(InterPro)|GO:0010008(PANTHER)|GO:2000641(InterPro)
 55544 	g15360  	-
 55545 	g493    	GO:0005515(InterPro)
 55548 	g16247  	-
 55562 	g6835   	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
 55566 	g30371  	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
 55568 	g34757  	GO:0005634(PANTHER)|GO:1901537(PANTHER)
 55569 	g22501  	GO:0005829(PANTHER)|GO:0009903(PANTHER)|GO:0009904(PANTHER)
 55570 	g13055  	GO:0009535(InterPro)|GO:0009773(InterPro)|GO:0010598(InterPro)
 55571 	g30152  	GO:0003676(InterPro)
 55573 	g31925  	GO:0005524(InterPro)|GO:0016887(InterPro)
 55583 	g17762  	GO:0005515(InterPro)
 55584 	g33586  	GO:0016020(InterPro)
 55587 	g13463  	GO:0003824(InterPro)
 55593 	g30718  	GO:0004857(InterPro)
 55597 	g8810   	GO:0009505(PANTHER)|GO:0016787(InterPro)|GO:0052793(PANTHER)|GO:0071555(PANTHER)
 55599 	g27910  	GO:0005515(InterPro)
 55600 	g9515   	GO:0003978(PANTHER)|GO:0005829(PANTHER)|GO:0005996(PANTHER)
 55601 	g27071  	GO:0019005(PANTHER)|GO:0031146(PANTHER)
 55605 	g28232  	GO:0000166(InterPro)
 55613 	g5960   	GO:0004449(PANTHER)|GO:0005739(PANTHER)|GO:0006099(PANTHER)|GO:0006102(PANTHER)
 55615 	g10972  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55620 	g30752  	GO:0004069(PANTHER)|GO:0006520(PANTHER)|GO:0008483(PANTHER)|GO:0008793(PANTHER)
 55623 	g31331  	GO:0005515(InterPro)
 55629 	g2666   	GO:0003676(InterPro)|GO:0008270(InterPro)
 55630 	g11680  	GO:0003676(InterPro)|GO:0008270(InterPro)
 55631 	g25357  	GO:0005524(InterPro)|GO:0009058(InterPro)
 55639 	g14157  	GO:0030247(InterPro)
 55640 	g19342  	GO:0016747(PANTHER)
 55647 	g28886  	GO:0004714(InterPro)|GO:0006468(InterPro)
 55648 	g25944  	GO:0003677(InterPro)
 55654 	g10367  	GO:0007034(InterPro)
 55656 	g24213  	GO:0016788(InterPro)
 55657 	g30120  	GO:0003729(PANTHER)|GO:0005737(PANTHER)|GO:0061157(PANTHER)
 55661 	g26833  	GO:0004252(InterPro)|GO:0006508(InterPro)
 55669 	g30567  	GO:0003830(InterPro)|GO:0006044(PANTHER)|GO:0016020(InterPro)|GO:0016757(PANTHER)
 55677 	g22139  	GO:0003924(InterPro)|GO:0005525(InterPro)
 55698 	g27083  	GO:0016702(InterPro)
 55700 	g692    	GO:0004497(PANTHER)
 55704 	g24485  	GO:0007165(InterPro)
 55707 	g4009   	GO:0005829(PANTHER)|GO:0009903(PANTHER)|GO:0009904(PANTHER)
 55714 	g24182  	GO:0004672(InterPro)|GO:0006468(InterPro)
 55719 	g7574   	GO:0004672(InterPro)|GO:0006468(InterPro)
 55725 	g30431  	GO:0005216(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
 55726 	g32107  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55731 	g2276   	GO:0005509(InterPro)
 55746 	g32771  	GO:0005509(InterPro)
 55749 	g9988   	GO:0005515(InterPro)
 55750 	g33712  	GO:0005515(InterPro)
 55755 	g21358  	GO:0015020(InterPro)
 55757 	g32231  	GO:0008270(InterPro)
 55760 	g16914  	GO:0005515(InterPro)
 55769 	g27913  	GO:0006351(InterPro)
 55781 	g30707  	GO:0005975(InterPro)
 55784 	g26822  	GO:0015035(InterPro)
 55800 	g25029  	GO:0016788(InterPro)
 55804 	g31521  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55811 	g29901  	GO:0007051(InterPro)|GO:0030951(InterPro)|GO:0046785(InterPro)|GO:0051010(InterPro)|GO:0061863(InterPro)
 55813 	g30732  	GO:0000387(PANTHER)|GO:0005681(PANTHER)|GO:0005829(PANTHER)|GO:0034715(PANTHER)|GO:0045292(PANTHER)
 55818 	g12316  	GO:0004185(InterPro)|GO:0006508(InterPro)
 55825 	g27046  	GO:0004222(InterPro)|GO:0006364(InterPro)
 55831 	g14282  	GO:0008168(InterPro)
 55835 	g8031   	GO:0005515(InterPro)
 55843 	g13812  	GO:0016757(InterPro)
 55844 	g26414  	GO:0015297(InterPro)|GO:0016020(InterPro)|GO:0042910(InterPro)|GO:0055085(InterPro)
 55848 	g14490  	GO:0006486(InterPro)|GO:0016757(InterPro)
 55849 	g23832  	GO:0000427(PANTHER)|GO:0009534(PANTHER)|GO:0009658(PANTHER)|GO:0010027(PANTHER)|GO:0016279(PANTHER)|GO:0018026(PANTHER)|GO:0042793(PANTHER)
 55852 	g998    	GO:0016117(InterPro)|GO:0016166(InterPro)
 55855 	g4360   	GO:0005509(InterPro)
 55856 	g26156  	GO:0005515(InterPro)
 55860 	g17759  	GO:0005515(InterPro)
 55862 	g34234  	GO:0005515(InterPro)
 55869 	g632    	GO:0003676(InterPro)
 55873 	g25990  	GO:0003677(InterPro)|GO:0046983(InterPro)
 55885 	g15587  	GO:0002943(InterPro)|GO:0017150(InterPro)
 55886 	g31736  	GO:0005524(InterPro)
 55887 	g18137  	GO:0007165(InterPro)
 55891 	g10276  	GO:0005634(PANTHER)|GO:0006511(InterPro)|GO:0006511(PANTHER)|GO:0031625(PANTHER)|GO:0043130(PANTHER)
 55892 	g35935  	GO:0046872(InterPro)
 55896 	g33531  	GO:0000981(InterPro)|GO:0006355(InterPro)
 55905 	g15682  	GO:0003677(InterPro)
 55907 	g19307  	GO:0005515(InterPro)
 55921 	g13983  	GO:0008194(InterPro)
 55924 	g31620  	GO:0016020(InterPro)
 55925 	g35066  	GO:0004722(PANTHER)|GO:0006470(PANTHER)|GO:0009507(PANTHER)
 55926 	g8748   	GO:0016567(PANTHER)|GO:0043022(PANTHER)|GO:0061630(PANTHER)|GO:0061630(InterPro)|GO:0072344(PANTHER)|GO:0072344(InterPro)
 55927 	g23179  	GO:0010256(PANTHER)
 55928 	g36193  	GO:0003676(InterPro)|GO:0005524(InterPro)
 55931 	g24152  	GO:0005634(PANTHER)
 55934 	g13882  	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
 55940 	g28714  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 55943 	g17962  	GO:0016702(InterPro)|GO:0046872(InterPro)
 55964 	g31579  	GO:0005515(InterPro)
 55971 	g31630  	GO:0046872(InterPro)
 55973 	g6605   	GO:0003677(InterPro)
 55979 	g15933  	GO:0004499(InterPro)|GO:0050660(InterPro)|GO:0050661(InterPro)
 55981 	g34312  	GO:0005515(InterPro)
 55983 	g8385   	GO:0016887(InterPro)
 55986 	g23374  	GO:0016702(InterPro)|GO:0046872(InterPro)
 55989 	g13447  	GO:0005515(InterPro)
 55995 	g11771  	GO:0030599(InterPro)|GO:0042545(InterPro)
 55997 	g7767   	GO:0004707(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
 56003 	g7160   	GO:0003723(InterPro)
 56030 	g16676  	GO:0006355(InterPro)|GO:0042644(InterPro)
 56031 	g13312  	GO:0005737(PANTHER)|GO:0006457(InterPro)|GO:0007017(PANTHER)|GO:0007021(PANTHER)|GO:0015631(PANTHER)|GO:0016272(PANTHER)|GO:0016272(InterPro)
 56045 	g17275  	GO:0005515(InterPro)
 56047 	g18486  	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
 56058 	g17037  	GO:0003677(InterPro)|GO:0006355(InterPro)
 56063 	g31368  	GO:0005886(PANTHER)
 56064 	g28977  	GO:0000145(InterPro)|GO:0005546(InterPro)|GO:0006887(InterPro)
 56066 	g23596  	GO:0016788(InterPro)
 56071 	g13183  	GO:0000387(PANTHER)|GO:0005634(PANTHER)|GO:0032797(PANTHER)
 56073 	g24161  	GO:0005783(PANTHER)|GO:0005794(PANTHER)|GO:0005886(PANTHER)|GO:0016020(InterPro)
 56077 	g860    	GO:0003676(InterPro)
 56079 	g15327  	GO:0004857(InterPro)
 56083 	g27411  	GO:0003676(InterPro)
 56090 	g17899  	GO:0035251(PANTHER)
 56093 	g10729  	GO:0005515(InterPro)
 56109 	g32614  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
 56116 	g25024  	GO:1990072(PANTHER)
